,Function Code,Function Description,Category Code,Category Description,Framework Requirement Code,Framework Requirement Description,Contextualized Framework Requirement Description
0,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P1,Systems/products/services that process data are inventoried.,"Maintain a comprehensive inventory of all systems, products, and services that process data to enhance organizational understanding and management of privacy risks associated with data processing, thereby supporting informed privacy risk management decisions."
1,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P2,"Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried.","Maintain a comprehensive inventory of all owners or operators, including the organization and any third parties such as service providers, partners, customers, and developers, along with their specific roles related to the systems, products, or services and components, whether internal or external, that process data. This inventory supports the organizational understanding necessary to manage privacy risks to individuals arising from data processing activities."
2,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P3,"Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried.","Maintain an inventory of categories of individuals (e.g., customers, employees, or prospective employees, consumers) whose data are processed, to enhance organizational understanding and management of privacy risks associated with data processing activities. This inventory supports the objective of developing organizational insights into how data processing by systems, products, or services impacts privacy risk."
3,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P4,Data actions of the systems/products/services are inventoried.,"**Contextualized Framework Requirement:**
Ensure a comprehensive inventory of data actions performed by the organization's systems, products, and services is maintained to enhance the understanding of data processing activities. This inventory supports the management of privacy risks associated with the processing of individual's data, aligning with organizational objectives to manage privacy implications effectively."
4,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P5,The purposes for the data actions are inventoried.,"Inventory the purposes of data actions to enhance organizational understanding and management of privacy risks associated with data processing in systems, products, or services."
5,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P6,Data elements within the data actions are inventoried.,"Inventory all data elements involved in data processing activities to enhance organizational understanding and management of privacy risks associated with individuals' data, in alignment with the objective of developing comprehensive privacy risk management strategies."
6,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P7,"The data processing environment is identified (e.g., geographic location, internal, cloud, third parties).","Ensure the identification of the data processing environment—including geographic location and whether processing is internal, in the cloud, or involves third parties—to enhance organizational understanding and management of privacy risks associated with individuals' data processed by systems, products, or services."
7,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Inventory and Mapping (ID.IM-P),"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P8,"Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services.","Ensure comprehensive mapping of data processing activities, detailing the specific data actions and elements involved in all systems, products, or services. This mapping should include identification of component owners/operators, and document interactions involving individuals or third parties. This process supports the organizational understanding necessary to manage privacy risks associated with data processing, aligning with the strategic objective to enhance privacy risk management through improved clarity on how data is processed within the organization."
8,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Business Environment (ID.BE-P),"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",ID.BE-P1,The organization’s role(s) in the data processing ecosystem are identified and communicated.,"Identify and communicate the organization's specific roles within the data processing ecosystem to enhance the understanding of privacy risks associated with data processing, thereby supporting the prioritization of the organization’s mission, objectives, stakeholders, and activities. This understanding is crucial for defining privacy roles, responsibilities, and informed risk management decisions."
9,IDENTIFY-P (ID-P),Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,Business Environment (ID.BE-P),"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",ID.BE-P2,"Priorities for organizational mission, objectives, and activities are established and communicated.","Establish and communicate organizational priorities for the mission, objectives, and activities, ensuring alignment with privacy roles, responsibilities, and risk management decisions to effectively manage privacy risks arising from data processing."
